id;name;surname;title;story;jhi_order;image_name;image;image_content_type
1;front-end;intranet;IB User-friendly Squares;Grove back-end Soft;31673;Avon Technician back-end;../fake-data/blob/hipster.png;image/png
2;multi-tasking FTP hacking;system Meadows;auxiliary Row Distributed;Alley Chicken;38700;User repurpose Product;../fake-data/blob/hipster.png;image/png
3;redundant;AGP;extend Product Checking;Shoes;65027;enhance interface;../fake-data/blob/hipster.png;image/png
4;ROI Brand;Handmade;Sausages withdrawal Supervisor;Berkshire Functionality Bedfordshire;61003;Delaware;../fake-data/blob/hipster.png;image/png
5;context-sensitive copy;Dinar state middleware;e-tailers Pa'anga;Unbranded Creative Kanada;79550;black;../fake-data/blob/hipster.png;image/png
6;deposit web-enabled methodical;orchid convergence microchip;Checking;invoice Frozen;99418;invoice Decentralized Hırvatistan;../fake-data/blob/hipster.png;image/png
7;Türkiye Internal invoice;Helena,;Associate;connecting firewall Cambridgeshire;94288;wireless Ergonomic transmitting;../fake-data/blob/hipster.png;image/png
8;synergize Plastic Metal;Officer SMTP Optional;Ergonomic Computers Towels;strategic;15011;backing array system;../fake-data/blob/hipster.png;image/png
9;Village JSON Functionality;port;administration;panel methodologies;11905;Fish array;../fake-data/blob/hipster.png;image/png
10;Reduced Jewelery ROI;Security;redundant Granite;compelling Soft lavender;24566;Eritre;../fake-data/blob/hipster.png;image/png
