id;key;value;language
1;Exclusive Borders cyan;Valleys Handcrafted;systems Music
2;Branding orchid Glens;dedicated;Central
3;override e-business;standardization;Wooden
4;disintermediate;Salad Concrete SQL;Consultant
5;port back-end Representative;Granite Mills withdrawal;Branding
6;Port Plastic;Principal;well-modulated
7;function Fields;Home calculate Rubber;navigate
8;Toys;RSS Awesome Implementation;optimal Operative
9;Planner Shoes;Cambridgeshire;integrate
10;Grocery;bandwidth framework;Monetary indigo Market
