id;title;description;jhi_order;icon;icon_content_type
1;Cotton Helena Jewelery;bypassing Louisiana Berkshire;71384;../fake-data/blob/hipster.png;image/png
2;Dinar;Car Regional;95903;../fake-data/blob/hipster.png;image/png
3;Outdoors deposit;Track Pennsylvania;29243;../fake-data/blob/hipster.png;image/png
4;parsing Corporate redundant;Home Costa;69905;../fake-data/blob/hipster.png;image/png
5;application sky Consultant;Small superstructure Doğu;91036;../fake-data/blob/hipster.png;image/png
6;Product Pennsylvania;Direct;31026;../fake-data/blob/hipster.png;image/png
7;Buckinghamshire Buckinghamshir;Alaska Product auxiliary;81681;../fake-data/blob/hipster.png;image/png
8;Automotive Savings;client-driven Mountain;13341;../fake-data/blob/hipster.png;image/png
9;Concrete synthesize transmitti;District neutral;2994;../fake-data/blob/hipster.png;image/png
10;methodology Michigan;Computers Intuitive initiatives;87794;../fake-data/blob/hipster.png;image/png
