id;name;jhi_order;image;image_content_type
1;Mountains quantify utilisation;52111;../fake-data/blob/hipster.png;image/png
2;North turquoise synthesize;71464;../fake-data/blob/hipster.png;image/png
3;bifurcated Progressive User;76335;../fake-data/blob/hipster.png;image/png
4;driver Dakota aggregate;97013;../fake-data/blob/hipster.png;image/png
5;base one-to-one Forge;28506;../fake-data/blob/hipster.png;image/png
6;holistic middleware Handcrafted;9460;../fake-data/blob/hipster.png;image/png
7;Platinum;79809;../fake-data/blob/hipster.png;image/png
8;plug-and-play azure withdrawal;65848;../fake-data/blob/hipster.png;image/png
9;Designer pixel web-readiness;44332;../fake-data/blob/hipster.png;image/png
10;Markets payment;77875;../fake-data/blob/hipster.png;image/png
